species,Common Name,Threat Status,Original Map Link,Family
Hylocharis sapphirina,Rufous-Throated Sapphire,LC,https://mol.org/species/map/Hylocharis sapphirina,Trochilidae
Thalurania glaucopis,Violet-Capped Woodnymph,LC,https://mol.org/species/map/Thalurania glaucopis,Trochilidae
Thalurania furcata,Fork-Tailed Woodnymph,LC,https://mol.org/species/map/Thalurania furcata,Trochilidae
Trogon viridis,White-Tailed Trogon,LC,https://mol.org/species/map/Trogon viridis,Trogonidae
Trogon rufus,Black-Throated Trogon,LC,https://mol.org/species/map/Trogon rufus,Trogonidae
Trogon surrucura,Surucua Trogon,LC,https://mol.org/species/map/Trogon surrucura,Trogonidae
Baryphthengus ruficapillus,Rufous-Capped Motmot,LC,https://mol.org/species/map/Baryphthengus ruficapillus,Momotidae
Megaceryle torquata,Ringed Kingfisher,LC,https://mol.org/species/map/Megaceryle torquata,Alcedinidae
Chloroceryle americana,Green Kingfisher,LC,https://mol.org/species/map/Chloroceryle americana,Alcedinidae
Chloroceryle amazona,Amazon Kingfisher,LC,https://mol.org/species/map/Chloroceryle amazona,Alcedinidae
Notharchus macrorhynchos,White-Necked Puffbird,LC,https://mol.org/species/map/Notharchus macrorhynchos,Bucconidae
Notharchus swainsoni,Buff-Bellied Puffbird,LC,https://mol.org/species/map/Notharchus swainsoni,Bucconidae
Nystalus chacuru,White-Eared Puffbird,LC,https://mol.org/species/map/Nystalus chacuru,Bucconidae
Chelidoptera tenebrosa,Swallow-Wing,LC,https://mol.org/species/map/Chelidoptera tenebrosa,Bucconidae
Malacoptila striata,Crescent-Chested Puffbird,LC,https://mol.org/species/map/Malacoptila striata,Bucconidae
Nonnula rubecula,Rusty-Breasted Nunlet,LC,https://mol.org/species/map/Nonnula rubecula,Bucconidae
Jacamaralcyon tridactyla,Three-Toed Jacamar,NT,https://mol.org/species/map/Jacamaralcyon tridactyla,Galbulidae
Galbula ruficauda,Rufous-Tailed Jacamar,LC,https://mol.org/species/map/Galbula ruficauda,Galbulidae
Ramphastos toco,Toco Toucan,LC,https://mol.org/species/map/Ramphastos toco,Ramphastidae
Selenidera maculirostris,Spot-Billed Toucanet,LC,https://mol.org/species/map/Selenidera maculirostris,Ramphastidae
Ramphastos vitellinus,Yellow-Ridged Toucan,LC,https://mol.org/species/map/Ramphastos vitellinus,Ramphastidae
Ramphastos dicolorus,Red-Breasted Toucan,LC,https://mol.org/species/map/Ramphastos dicolorus,Ramphastidae
Pteroglossus aracari,Black-Necked Aracari,LC,https://mol.org/species/map/Pteroglossus aracari,Ramphastidae
Dryobates passerinus,,LC,https://mol.org/species/map/Dryobates passerinus,Picidae
Celeus flavescens,Blond-Crested Woodpecker,LC,https://mol.org/species/map/Celeus flavescens,Picidae
Melanerpes flavifrons,Yellow-Fronted Woodpecker,LC,https://mol.org/species/map/Melanerpes flavifrons,Picidae
Campephilus robustus,Robust Woodpecker,LC,https://mol.org/species/map/Campephilus robustus,Picidae
Colaptes campestris,Campo Flicker,LC,https://mol.org/species/map/Colaptes campestris,Picidae
Piculus aurulentus,White-Browed Woodpecker,NT,https://mol.org/species/map/Piculus aurulentus,Picidae
Piculus chrysochloros,Golden-Green Woodpecker,LC,https://mol.org/species/map/Piculus chrysochloros,Picidae
Dryobates spilogaster,,LC,https://mol.org/species/map/Dryobates spilogaster,Picidae
Dryocopus lineatus,Lineated Woodpecker,LC,https://mol.org/species/map/Dryocopus lineatus,Picidae
Piculus flavigula,Yellow-Throated Woodpecker,LC,https://mol.org/species/map/Piculus flavigula,Picidae
Picumnus albosquamatus,White-Wedged Piculet,LC,https://mol.org/species/map/Picumnus albosquamatus,Picidae
Melanerpes candidus,White Woodpecker,LC,https://mol.org/species/map/Melanerpes candidus,Picidae
Campephilus melanoleucos,Crimson-Crested Woodpecker,LC,https://mol.org/species/map/Campephilus melanoleucos,Picidae
Picumnus cirratus,White-Barred Piculet,LC,https://mol.org/species/map/Picumnus cirratus,Picidae
Picumnus minutissimus,Guianan Piculet,LC,https://mol.org/species/map/Picumnus minutissimus,Picidae
Picumnus temminckii,Ochre-Collared Piculet,LC,https://mol.org/species/map/Picumnus temminckii,Picidae
Colaptes melanochloros,Green-Barred Flicker,LC,https://mol.org/species/map/Colaptes melanochloros,Picidae
Dryobates maculifrons,,LC,https://mol.org/species/map/Dryobates maculifrons,Picidae
Melanerpes cactorum,White-Fronted Woodpecker,LC,https://mol.org/species/map/Melanerpes cactorum,Picidae
Dryobates mixtus,,LC,https://mol.org/species/map/Dryobates mixtus,Picidae
Cariama cristata,Red-Legged Seriema,LC,https://mol.org/species/map/Cariama cristata,Cariamidae
Caracara plancus,Southern Caracara,LC,https://mol.org/species/map/Caracara plancus,Falconidae
Falco femoralis,Aplomado Falcon,LC,https://mol.org/species/map/Falco femoralis,Falconidae
Falco peregrinus,Peregrine Falcon,LC,https://mol.org/species/map/Falco peregrinus,Falconidae
Falco rufigularis,Bat Falcon,LC,https://mol.org/species/map/Falco rufigularis,Falconidae
Falco sparverius,American Kestrel,LC,https://mol.org/species/map/Falco sparverius,Falconidae
Milvago chimachima,Yellow-Headed Caracara,LC,https://mol.org/species/map/Milvago chimachima,Falconidae
Milvago chimango,Chimango Caracara,LC,https://mol.org/species/map/Milvago chimango,Falconidae
Micrastur ruficollis,Barred Forest-Falcon,LC,https://mol.org/species/map/Micrastur ruficollis,Falconidae
Micrastur semitorquatus,Collared Forest-Falcon,LC,https://mol.org/species/map/Micrastur semitorquatus,Falconidae
Herpetotheres cachinnans,Laughing Falcon,LC,https://mol.org/species/map/Herpetotheres cachinnans,Falconidae
Pionus maximiliani,Scaly-Headed Parrot,LC,https://mol.org/species/map/Pionus maximiliani,Psittacidae
Diopsittaca nobilis,Red-Shouldered Macaw,LC,https://mol.org/species/map/Diopsittaca nobilis,Psittacidae
Brotogeris chiriri,Yellow Chevroned Parakeet,LC,https://mol.org/species/map/Brotogeris chiriri,Psittacidae
Pyrrhura frontalis,Maroon-Bellied Parakeet,LC,https://mol.org/species/map/Pyrrhura frontalis,Psittacidae
Pyrrhura leucotis,White-Eared Parakeet,VU,https://mol.org/species/map/Pyrrhura leucotis,Psittacidae
Amazona vinacea,Vinaceous Amazon,EN,https://mol.org/species/map/Amazona vinacea,Psittacidae
Aratinga auricapillus,Golden Capped Parakeet,LC,https://mol.org/species/map/Aratinga auricapillus,Psittacidae
Alipiopsitta xanthops,Yellow-Faced Amazon,NT,https://mol.org/species/map/Alipiopsitta xanthops,Psittacidae
Pionopsitta pileata,Red-Capped Parrot,LC,https://mol.org/species/map/Pionopsitta pileata,Psittacidae
Eupsittula aurea,,LC,https://mol.org/species/map/Eupsittula aurea,Psittacidae
Forpus xanthopterygius,Blue-Winged Parrotlet,LC,https://mol.org/species/map/Forpus xanthopterygius,Psittacidae
Brotogeris tirica,Plain Parakeet,LC,https://mol.org/species/map/Brotogeris tirica,Psittacidae
