species,Common Name,Threat Status,Original Map Link,Family
Triclaria malachitacea,Purple-Bellied Parrot,LC,https://mol.org/species/map/Triclaria malachitacea,Psittacidae
Primolius maracana,Blue Winged Macaw,NT,https://mol.org/species/map/Primolius maracana,Psittacidae
Touit melanonotus,Brown-Backed Parrotlet,NT,https://mol.org/species/map/Touit melanonotus,Psittacidae
Amazona aestiva,Blue-Fronted Amazon,NT,https://mol.org/species/map/Amazona aestiva,Psittacidae
Amazona rhodocorytha,Red-Browed Amazon,VU,https://mol.org/species/map/Amazona rhodocorytha,Psittacidae
Ara ararauna,Blue-And-Yellow Macaw,LC,https://mol.org/species/map/Ara ararauna,Psittacidae
Psittacara leucophthalmus,,LC,https://mol.org/species/map/Psittacara leucophthalmus,Psittacidae
Thamnophilus torquatus,Rufous-Winged Antshrike,LC,https://mol.org/species/map/Thamnophilus torquatus,Thamnophilidae
Thamnophilus ruficapillus,Rufous-Capped Antshrike,LC,https://mol.org/species/map/Thamnophilus ruficapillus,Thamnophilidae
Drymophila ferruginea,Ferruginous Antbird,LC,https://mol.org/species/map/Drymophila ferruginea,Thamnophilidae
Drymophila malura,Dusky-Tailed Antbird,LC,https://mol.org/species/map/Drymophila malura,Thamnophilidae
Drymophila ochropyga,Ochre-Rumped Antbird,NT,https://mol.org/species/map/Drymophila ochropyga,Thamnophilidae
Drymophila rubricollis,Bertoni's Antbird,LC,https://mol.org/species/map/Drymophila rubricollis,Thamnophilidae
Thamnophilus pelzelni,Planalto Slaty Antshrike,LC,https://mol.org/species/map/Thamnophilus pelzelni,Thamnophilidae
Drymophila squamata,Scaled Antbird,LC,https://mol.org/species/map/Drymophila squamata,Thamnophilidae
Terenura maculata,Streak-Capped Antwren,LC,https://mol.org/species/map/Terenura maculata,Thamnophilidae
Thamnophilus palliatus,Lined Antshrike,LC,https://mol.org/species/map/Thamnophilus palliatus,Thamnophilidae
Pyriglena leucoptera,White-Shouldered Fire-Eye,LC,https://mol.org/species/map/Pyriglena leucoptera,Thamnophilidae
Thamnophilus doliatus,Barred Antshrike,LC,https://mol.org/species/map/Thamnophilus doliatus,Thamnophilidae
Thamnophilus caerulescens,Variable Antshrike,LC,https://mol.org/species/map/Thamnophilus caerulescens,Thamnophilidae
Thamnophilus ambiguus,Sooretama Slaty Antshrike,LC,https://mol.org/species/map/Thamnophilus ambiguus,Thamnophilidae
Formicivora rufa,Rusty-Backed Antwren,LC,https://mol.org/species/map/Formicivora rufa,Thamnophilidae
Formicivora serrana,Serra Antwren,LC,https://mol.org/species/map/Formicivora serrana,Thamnophilidae
Myrmotherula axillaris,White-Flanked Antwren,LC,https://mol.org/species/map/Myrmotherula axillaris,Thamnophilidae
Myrmotherula minor,Salvadori's Antwren,VU,https://mol.org/species/map/Myrmotherula minor,Thamnophilidae
Rhopias gularis,,LC,https://mol.org/species/map/Rhopias gularis,Thamnophilidae
Dysithamnus mentalis,Plain Antvireo,LC,https://mol.org/species/map/Dysithamnus mentalis,Thamnophilidae
Taraba major,Great Antshrike,LC,https://mol.org/species/map/Taraba major,Thamnophilidae
Batara cinerea,Giant Antshrike,LC,https://mol.org/species/map/Batara cinerea,Thamnophilidae
Dysithamnus stictothorax,Spot-Breasted Antvireo,NT,https://mol.org/species/map/Dysithamnus stictothorax,Thamnophilidae
Hypoedaleus guttatus,Spot-Backed Antshrike,LC,https://mol.org/species/map/Hypoedaleus guttatus,Thamnophilidae
Mackenziaena severa,Tufted Antshrike,LC,https://mol.org/species/map/Mackenziaena severa,Thamnophilidae
Mackenziaena leachii,Large-Tailed Antshrike,LC,https://mol.org/species/map/Mackenziaena leachii,Thamnophilidae
Herpsilochmus atricapillus,Black-Capped Antwren,LC,https://mol.org/species/map/Herpsilochmus atricapillus,Thamnophilidae
Herpsilochmus longirostris,Large-Billed Antwren,LC,https://mol.org/species/map/Herpsilochmus longirostris,Thamnophilidae
Herpsilochmus rufimarginatus,Rufous-Winged Antwren,LC,https://mol.org/species/map/Herpsilochmus rufimarginatus,Thamnophilidae
Myrmoderus loricatus,,LC,https://mol.org/species/map/Myrmoderus loricatus,Thamnophilidae
Melanopareia torquata,Collared Crescentchest,LC,https://mol.org/species/map/Melanopareia torquata,Melanopareiidae
Conopophaga melanops,Black-Cheeked Gnateater,LC,https://mol.org/species/map/Conopophaga melanops,Conopophagidae
Conopophaga lineata,Rufous Gnateater,LC,https://mol.org/species/map/Conopophaga lineata,Conopophagidae
